,spec,age,temp,dur,rep,surv,total,survival_rate
190,MD,6,-5,0,1,10,10,1
191,MD,6,-5,0,2,10,10,1
192,MD,6,-5,0,3,10,10,1
193,MD,6,-5,965,1,11,11,1
194,MD,6,-5,1440,1,3,5,0.6
195,MD,6,-5,1440,2,5,7,0.71
196,MD,6,-5,1440,3,2,5,0.4
197,MD,6,-5,1600,1,8,9,0.89
198,MD,6,-5,2520,1,7,7,1
199,MD,6,-5,3140,1,9,11,0.82
200,MD,6,-5,3140,2,5,7,0.71
201,MD,6,-5,3140,3,8,9,0.89
202,MD,6,-5,3695,1,8,10,0.8
203,MD,6,-5,4800,1,10,10,1
204,MD,6,-5,4800,2,8,9,0.89
205,MD,6,-5,4800,3,7,9,0.78
206,MD,6,-5,7135,1,3,6,0.5
207,MD,6,-5,7135,2,4,10,0.4
208,MD,6,-5,7135,3,5,10,0.5
209,MD,6,-5,7926,1,0,9,0
210,MD,6,-5,7926,2,0,10,0
211,MD,6,-5,7926,3,0,9,0
212,MD,6,-5,8580,1,0,10,0
213,MD,6,-5,8580,2,0,10,0
214,MD,6,-5,8580,3,2,10,0.2
215,MD,6,-5,9595,1,1,7,0.14
216,MD,6,-5,9595,2,0,10,0
217,MD,6,-5,9880,1,1,11,0.09
218,MD,6,-5,9880,2,1,9,0.11
219,MD,6,-5,10162,1,0,9,0
220,MD,6,-5,10162,2,0,10,0
254,RP,6,-5,0,1,10,10,1
255,RP,6,-5,0,2,10,10,1
256,RP,6,-5,0,3,10,10,1
257,RP,6,-5,60,1,7,10,0.7
258,RP,6,-5,60,2,2,7,0.29
259,RP,6,-5,60,3,4,10,0.4
260,RP,6,-5,120,1,6,9,0.67
261,RP,6,-5,120,2,6,11,0.55
262,RP,6,-5,230,1,5,10,0.5
263,RP,6,-5,230,2,6,13,0.46
264,RP,6,-5,230,3,5,10,0.5
265,RP,6,-5,965,1,3,10,0.3
266,RP,6,-5,965,2,4,10,0.4
267,RP,6,-5,1600,1,2,10,0.2
268,RP,6,-5,1600,2,1,10,0.1
269,RP,6,-5,1600,3,3,9,0.33
270,RP,6,-5,2000,1,0,10,0
271,RP,6,-5,2000,2,3,10,0.3
272,RP,6,-5,2000,3,2,10,0.2
273,RP,6,-5,2520,1,0,12,0
274,RP,6,-5,2520,2,0,9,0
275,RP,6,-5,2520,3,0,10,0
276,RP,6,-5,3140,1,0,10,0
277,RP,6,-5,3140,2,0,8,0
301,SA,6,-5,0,1,10,10,1
302,SA,6,-5,0,2,10,10,1
303,SA,6,-5,0,3,10,10,1
304,SA,6,-5,390,1,10,10,1
305,SA,6,-5,1020,1,5,7,0.71
306,SA,6,-5,1200,1,8,8,1
307,SA,6,-5,1440,1,7,7,1
308,SA,6,-5,1440,2,8,9,0.89
309,SA,6,-5,1440,3,8,9,0.89
310,SA,6,-5,1440,4,7,7,1
311,SA,6,-5,1800,1,8,8,1
312,SA,6,-5,2880,1,6,8,0.75
313,SA,6,-5,2880,2,9,10,0.9
314,SA,6,-5,2880,3,8,10,0.8
315,SA,6,-5,3517,1,7,8,0.88
316,SA,6,-5,3517,2,9,9,1
317,SA,6,-5,3517,3,5,8,0.63
318,SA,6,-5,4320,1,6,10,0.6
319,SA,6,-5,4320,2,8,10,0.8
320,SA,6,-5,4320,3,3,8,0.38
321,SA,6,-5,4680,1,1,8,0.13
322,SA,6,-5,4680,2,2,11,0.18
323,SA,6,-5,4680,3,2,10,0.2
324,SA,6,-5,5880,1,0,10,0
325,SA,6,-5,5880,2,0,10,0
326,SA,6,-5,6000,1,0,10,0
327,SA,6,-5,6000,2,0,10,0
328,SA,6,-5,6000,3,0,10,0
