"","species","temp","injury_level","recov","replicate","TRT","Lactic_acid","Alanine","Valine","Leucine","Phosphoric_acid","Glycerol","Isoleucine","Proline","Glycine","Succinic_acid","Fumaric_acid","Pipecolic_acid","Serine","Threonine","Malic_acid","Methionine","Aspartate","GABA","Glutamate","Phenylalanine","Asparagine","Putrescine","Ornithine","Citric_acid","Fructose","Glucose","Lysine","Tyrosine","Mannitol","Inositol","Sucrose","Trehalose"
"1","MD",20,"C","D",1,"C_D",2.125066751,6.5019678535,2.677995617,1.449102859,24.39393509,0.744006426,1.405888707,6.310856634,3.362427148,2.036222498,0.927202571,0.398812724,3.322367129,2.36681977,4.328117676,1.485030173,1.467954041,1.26721769285714,5.26536709028571,1.583845189,12.70542619,0.899651906,1.004923538,2.634367046,4.939415493,64.5065998,17.90532144,10.31715402,4.54836134942857,1.197647765,0.500919731,13.21968383
"2","MD",20,"C","D",2,"C_D",1.415980675,9.596496451,1.600764388,0.944989474,10.45930131,0.531367262,0.839435964,5.90574789,1.204788432,1.65646062,0.347042821,0.241079115,1.039725628,0.993303919,1.316342555,0.535358032,0.352624093,1.410288603,5.289237389,0.834613193,4.649103674,0.83271373,0.818238735,1.005992479,4.406638479,52.81999457,7.573483152,3.609782149,5.269548311,0.605533844,1.573858739,13.00566925
"3","MD",20,"C","D",3,"C_D",1.288923606,7.337974287,1.846687201,1.116434874,9.495206666,0.433898773,1.465151652,6.703521091,0.864304465,1.163863495,1.323318919,0.458608119,1.404290029,0.882025951,1.9423808,1.009565131,0.911871323,1.460208849,5.430821598,1.492318853,6.990940218,0.681569592,1.558680144,1.625901498,8.016106352,52.2996152,5.908909543,4.039670288,5.267282018,0.805157576,2.558614422,24.61519724
"4","MD",20,"C","D",4,"C_D",2.233898145,7.021998767,1.672233845,0.920510747,10.0478178,0.495119524,1.218806609,5.496963984,0.773141867,0.984373328,1.170583809,0.392320131,1.303122428,0.959090041,2.045493242,0.949410284,0.809684227,1.213895475,4.831759208,1.289336792,5.982960219,0.790921032,1.507668721,1.444402349,6.556493652,44.50560436,6.76092231,3.849612827,6.406133182,0.705386716,1.851134607,24.44912392
"5","MD",20,"C","D",5,"C_D",1.51015650742857,6.5019678535,0.436388289,0.236492946,6.369545669,0.55109799625,0.556335724,1.59259662,0.557334139,0.195954224,0.090182525,0.228481516,0.672223061,0.340990045,0.779268086,0.34527768,0.51400546,1.416094686,3.268679965,0.470349394,2.922851844,0.645336538,2.438794338,0.796271243,3.555920388,49.48625124,8.215487466,6.005012231,3.807144273,2.555052414,1.75334686,21.4931890628571
"6","MD",20,"C","D",6,"C_D",1.622554188,5.079958159,1.309376963,0.539263154,11.6140365,0.55109799625,1.04640574,6.107928627,0.771722874,0.439540269,0.37406249,0.140016904,1.339908751,0.637034111,1.350739934,0.3662561,0.947561026,1.129304998,7.799157647,0.684387563,5.606993088,0.538549082,0.750538978,1.0919641,4.92890776,34.32805597,5.950857154,14.53434685,5.954410013,0.119402782,2.920681941,37.90498113
"7","MD",20,"C","D",7,"C_D",0.543907048,5.534035943,1.060221486,0.485693029,9.895112832,0.55109799625,0.811012679,4.715744927,0.679140069,0.522775516,0.256940382,0.271147904,1.100127479,0.535649275,1.307780668,0.324830671,0.174624489,1.248011001,5.754428667,0.470228057,3.975351306,0.543925043,0.512072359,0.935200317,2.380397962,66.87295857,8.293937082,5.5399198,2.868049351,0.368608035,0.891218766,18.85260652
"8","MD",20,"C","D",8,"C_D",1.340765139,4.441343514,0.983687587,0.505951713,7.533753974,0.55109799625,0.68362239,3.377961123,0.654334138,0.355004824,0.136827814,0.299082682,1.028217307,0.48910326,0.904554632,0.255845495,0.137058645,0.992720238,4.483485158,0.429090472,3.02143897,0.376085915,0.62708085,0.851864264,1.964713432,40.23478955,6.163255357,4.417508645,2.265962298,0.343488018,0.572032807,18.40506155
"9","MD",-5,"L","D",1,"L_D",0.194529818,20.92764983,1.531863692,0.960055096,12.32910314,0.289062873,0.943780017,10.59605972,1.591557868,0.656393877,0.448946207,0.258789258,2.588213603,0.7159316,1.483766833,0.896833857,1.511167413,2.332167018,10.49895486,0.819805986,5.791676715,1.101349471,1.424326859,2.262453617,1.279690695,14.81682347,4.91033806,4.114432612,9.68228644,0.541682799,0.481452806,35.97725267
"10","MD",-5,"L","D",2,"L_D",0.546132632,17.52803679,1.17387658,0.95616058,10.92275775,0.139284731,0.838467452,6.694924445,1.303520289,0.467313443,0.464894083,0.2801311,2.054137564,0.913967641,1.418222052,0.820094293,1.236090756,2.43084392,8.540485864,0.776704299,4.004557963,0.720882941,1.335871294,2.089333318,0.822992606,14.82124464,2.955740976,3.566514698,6.109803807,0.671625162,0.464608093,34.74522931
"11","MD",-5,"L","D",3,"L_D",0.909186677,20.02286219,1.892396174,1.587979846,9.906018972,0.433113497,1.358593217,8.626428139,1.742523566,0.911338072,1.060831983,0.390218178,2.366367653,1.223484715,1.555196573,0.739972122,1.521557391,1.979223062,9.030564953,1.325331321,5.831729118,0.804817841,1.657936872,2.011709444,0.94232718,19.87982588,5.517850125,3.960551937,4.449488246,0.649259109,0.581038443,38.87938168
"12","MD",-5,"L","D",4,"L_D",1.319264026,21.11898335,1.362116891,1.216022334,8.627848396,0.317966817,1.081727083,7.655363146,1.399383638,0.892083262,1.272052793,0.486041923,2.257375092,1.213735679,1.586500789,0.916723751,1.799042277,2.025964791,8.158729366,1.358108445,6.776908218,0.902231142,1.832625821,1.762289033,0.839561839,15.19543994,3.680505751,3.457646967,6.428419506,0.772632727,0.691764893,37.98460896
"13","MD",-5,"L","D",5,"L_D",0.211729306,20.15154318,1.360486461,0.946990613,10.83984497,0.2881726976,1.103492492,8.787094741,2.047846165,0.441116003,0.275097264,0.163879233,2.392819182,0.941488586,0.913291981,0.348943247,1.760269874,2.621014705,13.42619086,0.713784384,3.625689147,0.715931329,1.029815989,2.046636026,0.528517424,21.73507844,5.303998099,15.05383174,5.539341896,0.125030196,0.219329229,44.36790011
